,subj,0_rare,0_common,1_rare,1_common,mb1,subj,rare,common,mb2
1,3187,0.916666667,0.307692308,0.782608696,0.98019802,0.806563683,3187,1.083344848,0.76163563,0.321709218
2,4862,0.68,0.678571429,0.466666667,0.921348315,0.456110219,4862,1.13606249,0.759940024,0.376122466
3,4936,0.545454545,0.34375,0.464285714,0.764705882,0.502124714,4936,1.029086257,0.877584893,0.151501365
4,4960,0.583333333,0.469387755,0.6,0.444444444,-0.041609977,4960,0.882911098,0.985135198,-0.102224101
5,9695,0.891891892,0.484848485,0.227272727,1,1.17977068,9695,1.327175225,0.756089637,0.571085588
6,10951,0.953488372,0.577777778,0.769230769,0.918604651,0.525084476,10951,0.909350575,0.720481548,0.188869027
7,16691,0.941176471,0.328571429,0.678571429,0.617647059,0.551680672,16691,1.085462757,0.81291434,0.272548417
8,17946,0.870967742,0.385714286,0.24137931,0.971830986,1.215705132,17946,1.223172189,0.834996273,0.388175916
9,23849,0.736842105,0.796296296,0.888888889,0.791208791,-0.157134289,23849,0.849243788,0.795277734,0.053966054
10,33765,0.416666667,0.424657534,0.208333333,0.895522388,0.679198187,33765,0.793082914,0.719856349,0.073226564
11,35102,0.80952381,0.402439024,0.193548387,0.848484848,1.062021247,35102,1.204409759,0.847612111,0.356797648
12,46080,0.846153846,0.703125,0.538461538,0.94047619,0.545043498,46080,1.202938225,0.966169798,0.236768428
13,53366,0.88,0.555555556,0,1,1.324444444,53366,1.240594152,0.852227152,0.388367001
14,55027,1,0.596774194,0.594594595,1,0.808631212,55027,1.118728357,0.692993891,0.425734466
15,57653,1,0.321428571,0.125,0.983870968,1.537442396,57653,1.259301974,0.737022639,0.522279335
16,61120,0.827586207,0.394736842,0.2,0.96969697,1.202546334,61120,1.366403902,0.917572612,0.44883129
17,63520,0.653846154,0.380952381,0.8,0.364705882,-0.162400345,63520,1.039753738,0.912424228,0.12732951
18,68012,0.75862069,0.442307692,0.25,0.898734177,0.965047175,68012,1.079543315,0.79835831,0.281185005
19,75759,0.962962963,0.883333333,0.925,1,0.15462963,75759,0.779900522,0.706488465,0.073412056
20,88310,0.642857143,0.46835443,0.416666667,0.739130435,0.496966481,88310,1.123189475,0.788619095,0.33457038
21,92975,0.862068966,0.315068493,0.6875,0.515151515,0.374651988,92975,0.92339601,0.761728981,0.161667029
22,97543,0.756097561,0.523809524,0.5,0.446808511,0.179096548,97543,1.038079417,0.629304346,0.408775071
23,99461,0.96969697,0.415730337,0,1,1.553966633,99461,1.250583933,0.771836088,0.478747845
24,99845,0.896551724,0.246153846,0.8125,0.216216216,0.054114094,99845,1.093777875,0.793939384,0.299838491
