"","subj","repeat_0","repeat_1","switch_0","switch_1","subj","0","1","subj","0","1"
"1","3187",0.0833333333333333,1,0.142857142857143,1,"3187",0.62,0.5,"3187",0.460526315789474,0.508064516129032
"2","4862",0.0526315789473684,0.956521739130435,0.111111111111111,0.885714285714286,"4862",0.409090909090909,0.447368421052632,"4862",0.432098765432099,0.495798319327731
"3","4936",0.210526315789474,0.931034482758621,0.294117647058824,1,"4936",0.28,0.547619047619048,"4936",0.465116279069767,0.520833333333333
"4","4960",0.619047619047619,0.666666666666667,0.5,0.444444444444444,"4960",0.428571428571429,0.766666666666667,"4960",0.589041095890411,0.745098039215686
"5","9695",0.346153846153846,1,0.222222222222222,1,"9695",0.593220338983051,0.575757575757576,"9695",0.553398058252427,0.443298969072165
"6","10951",0,0.944444444444444,0.294117647058824,0.888888888888889,"10951",0.625,0.5,"10951",0.409090909090909,0.455357142857143
"7","16691",0.235294117647059,0.85,0.217391304347826,0.916666666666667,"16691",0.53125,0.557692307692308,"16691",0.413461538461538,0.53125
"8","17946",0.19047619047619,1,0.25,0.971428571428571,"17946",0.55,0.457142857142857,"17946",0.425742574257426,0.55
"9","23849",0.842105263157895,1,0.772727272727273,0.903225806451613,"23849",0.65625,0.471698113207547,"23849",0.520547945205479,0.480314960629921
"10","33765",0.454545454545455,0.0606060606060606,0.5625,0,"33765",0.418181818181818,0.379310344827586,"33765",0.477064220183486,0.516483516483517
"11","35102",0.448275862068966,0.96551724137931,0.611111111111111,1,"35102",0.446428571428571,0.375,"35102",0.485436893203884,0.484536082474227
"12","46080",0.523809523809524,0.925,0.652173913043478,0.966666666666667,"46080",0.630434782608696,0.55,"46080",0.533333333333333,0.445454545454545
"13","53366",0.0476190476190476,1,0.19047619047619,0.975,"53366",0.456521739130435,0.421052631578947,"53366",0.477272727272727,0.508928571428571
"14","55027",0.666666666666667,0.972222222222222,0.583333333333333,0.971428571428571,"55027",0.432432432432432,0.595744680851064,"55027",0.414634146341463,0.466101694915254
"15","57653",0.277777777777778,1,0.421052631578947,1,"57653",0.467532467532468,0.62962962962963,"57653",0.43859649122807,0.5
"16","61120",0.153846153846154,1,0.304347826086957,1,"61120",0.535714285714286,0.53125,"61120",0.495238095238095,0.479166666666667
"17","63520",0.375,0.571428571428571,0.411764705882353,0.576923076923077,"63520",0.428571428571429,0.380952380952381,"63520",0.404494382022472,0.327272727272727
"18","68012",0.0666666666666667,1,0.222222222222222,1,"68012",0.520833333333333,0.531914893617021,"68012",0.395061728395062,0.512605042016807
"19","75759",0.0714285714285714,1,0.0434782608695652,1,"75759",0.583333333333333,0.5,"75759",0.494252873563218,0.548672566371681
"20","88310",0.260869565217391,0.84375,0.21875,0.933333333333333,"88310",0.5,0.451612903225806,"88310",0.542056074766355,0.473118279569892
"21","92975",0.32,0.758620689655172,0.25,0.88,"92975",0.526315789473684,0.522727272727273,"92975",0.480392156862745,0.459183673469388
"22","97543",0.387096774193548,0.695652173913043,0.425,0.888888888888889,"97543",0.462962962962963,0.617647058823529,"97543",0.536,0.386666666666667
"23","99461",0.133333333333333,1,0.103448275862069,0.966666666666667,"99461",0.474358974358974,0.529411764705882,"99461",0.516393442622951,0.448717948717949
"24","99845",0,0.666666666666667,0.4,0.888888888888889,"99845",0.528301886792453,0.575342465753425,"99845",0.468085106382979,0.452830188679245
